Wavelength (Angstroms), Normalized intensity, Element
7801.564, 9865, 
7801.666, 9879, 
7801.768, 9860, 
7801.868, 9865, 
7801.97, 9857, 
7802.072, 9857, 
7802.174, 9859, 
7802.274, 9859, 
7802.376, 9651, 
7802.478, 8673, 
7802.578, 9651, 
7802.68, 9826, 
7802.782, 9804, 
7802.884, 9861, 
7802.984, 9864, 
7803.086, 9863, 
7803.188, 9866, 
7803.29, 9865, 
7803.39, 9871, 
7803.492, 9875, 
7803.594, 9881, 
7803.694, 9886, 
7803.796, 9883, 
7803.898, 9891, 
7804.0, 9847, 
7804.1, 9855, 
7804.202, 9872, 
7804.304, 9893, 
7804.404, 9891, 
7804.506, 9875, 
7804.608, 9820, 
7804.71, 9832, 
7804.81, 9868, 
7804.912, 9885, 
7805.014, 9895, 
7805.116, 9870, 
7805.216, 9850, 
7805.318, 9881, 
7805.42, 9881, 
7805.52, 9885, 
7805.622, 9839, 
7805.724, 9880, 
7805.826, 9854, 
7805.926, 9857, 
7806.028, 9869, 
7806.13, 9871, 
7806.232, 9882, 
7806.332, 9853, 
7806.434, 9880, 
7806.536, 9861, 
7806.636, 9820, 
7806.738, 9844, 
7806.84, 9870, 
7806.942, 9865, 
7807.042, 9883, 
7807.144, 9846, 
7807.246, 9834, 
7807.348, 9857, 
7807.448, 9845, 
7807.55, 9855, 
7807.652, 9834, 
7807.752, 9609, 
7807.854, 7533, 
7807.956, 6893, 
7808.058, 9449, 
7808.158, 9801, 
7808.26, 9872, 
7808.362, 9887, 
7808.462, 9864, 
7808.564, 9863, 
7808.666, 9885, 
7808.768, 9877, 
7808.868, 9888, 
7808.97, 9898, 
7809.072, 9891, 
7809.174, 9889, 
7809.274, 9882, 
7809.376, 9894, 
7809.478, 9896, 
7809.578, 9877, 
7809.68, 9866, 
7809.782, 9858, 
7809.884, 9882, 
7809.984, 9858, 
7810.086, 9777, 
7810.188, 9837, 
7810.29, 9833, 
7810.39, 9835, 
7810.492, 9809, 
7810.594, 9768, 
7810.694, 9563, 
7810.796, 8454, 
7810.898, 9180, 
7811.0, 9427, 
7811.1, 9072, 
